Timestamp,Open,High,Low,Close,Volume,Quote Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Taker Sell Base Asset Volume,Taker Sell Quote Asset Volume,Open Time,Close Time
1739907420000,93887.90,93937.90,93887.90,93897.40,354.789,1739907479999,33318871.19800,4365,199.842,18767408.19660,0,2025-02-18 19:37:00,2025-02-18 19:37:59
1739907480000,93897.40,93897.50,93806.60,93841.60,136.825,1739907539999,12840613.16670,2405,35.117,3295287.22000,0,2025-02-18 19:38:00,2025-02-18 19:38:59
1739907540000,93841.70,93896.80,93832.60,93869.30,72.029,1739907599999,6760871.33300,2186,47.554,4463543.68900,0,2025-02-18 19:39:00,2025-02-18 19:39:59
1739907600000,93869.20,93906.00,93859.80,93888.20,93.102,1739907659999,8741280.65650,1641,44.585,4185758.57040,0,2025-02-18 19:40:00,2025-02-18 19:40:59
1739907660000,93888.20,93968.50,93850.00,93963.40,138.688,1739907719999,13025640.73390,3049,84.243,7912759.69680,0,2025-02-18 19:41:00,2025-02-18 19:41:59
1739907720000,93963.50,93963.50,93928.70,93942.50,76.983,1739907779999,7232356.89270,1580,33.526,3149625.79560,0,2025-02-18 19:42:00,2025-02-18 19:42:59
1739907780000,93942.50,93959.00,93854.20,93867.90,88.356,1739907839999,8297616.28180,2198,30.100,2826493.14160,0,2025-02-18 19:43:00,2025-02-18 19:43:59
1739907840000,93867.90,93972.00,93855.00,93966.20,196.754,1739907899999,18479491.96160,2970,138.061,12966761.92030,0,2025-02-18 19:44:00,2025-02-18 19:44:59
1739907900000,93966.30,93971.30,93904.60,93924.50,102.670,1739907959999,9643572.35910,2442,47.596,4470284.95060,0,2025-02-18 19:45:00,2025-02-18 19:45:59
1739907960000,93924.60,94124.60,93924.50,94111.30,367.275,1739908019999,34541595.12540,5482,290.821,27350746.71610,0,2025-02-18 19:46:00,2025-02-18 19:46:59
1739908020000,94111.30,94288.50,94111.30,94271.30,458.631,1739908079999,43199439.18530,7815,296.228,27902975.75660,0,2025-02-18 19:47:00,2025-02-18 19:47:59
1739908080000,94271.40,94351.70,94230.40,94243.90,642.754,1739908139999,60610076.53460,8380,288.345,27193936.02860,0,2025-02-18 19:48:00,2025-02-18 19:48:59
1739908140000,94243.90,94335.80,94208.50,94325.30,197.159,1739908199999,18584838.33050,3143,95.067,8960711.17110,0,2025-02-18 19:49:00,2025-02-18 19:49:59
1739908200000,94325.20,94365.00,94175.30,94184.40,283.952,1739908259999,26764449.89970,4488,120.102,11319883.83390,0,2025-02-18 19:50:00,2025-02-18 19:50:59
1739908260000,94184.40,94313.00,94165.80,94302.10,208.429,1739908319999,19642467.11870,3529,118.170,11137397.75330,0,2025-02-18 19:51:00,2025-02-18 19:51:59
1739908320000,94301.40,94301.40,94250.00,94250.10,122.182,1739908379999,11518360.55190,2474,67.439,6357368.42550,0,2025-02-18 19:52:00,2025-02-18 19:52:59
1739908380000,94250.20,94253.90,94205.00,94205.00,118.031,1739908439999,11121870.97290,2410,50.078,4718775.15530,0,2025-02-18 19:53:00,2025-02-18 19:53:59
1739908440000,94205.00,94214.10,94164.30,94214.10,125.260,1739908499999,11797149.08640,2439,87.312,8223244.06110,0,2025-02-18 19:54:00,2025-02-18 19:54:59
1739908500000,94214.00,94220.90,94108.10,94127.40,131.300,1739908559999,12363055.39030,2524,55.149,5192357.95860,0,2025-02-18 19:55:00,2025-02-18 19:55:59
1739908560000,94127.50,94132.50,94059.10,94059.20,103.476,1739908619999,9737030.55110,2454,22.011,2071276.20800,0,2025-02-18 19:56:00,2025-02-18 19:56:59
1739908620000,94059.20,94109.90,94042.00,94103.10,79.868,1739908679999,7513392.30590,2428,43.776,4117939.65230,0,2025-02-18 19:57:00,2025-02-18 19:57:59
1739908680000,94103.10,94120.10,94039.20,94093.70,129.422,1739908739999,12176070.85160,2699,95.606,8994933.56300,0,2025-02-18 19:58:00,2025-02-18 19:58:59
1739908740000,94093.70,94104.60,94034.30,94062.10,211.783,1739908799999,19924376.82770,2753,144.256,13572289.47970,0,2025-02-18 19:59:00,2025-02-18 19:59:59
1739908800000,94062.20,94070.50,93968.80,94015.00,198.615,1739908859999,18673112.43520,4230,50.029,4703476.70900,0,2025-02-18 20:00:00,2025-02-18 20:00:59
1739908860000,94015.00,94060.60,93970.90,94050.80,170.600,1739908919999,16039818.42120,2935,68.900,6478439.54880,0,2025-02-18 20:01:00,2025-02-18 20:01:59
1739908920000,94050.80,94050.80,94000.00,94014.20,57.377,1739908979999,5394520.58800,1607,24.892,2340261.83500,0,2025-02-18 20:02:00,2025-02-18 20:02:59
1739908980000,94014.10,94014.20,93948.00,93949.30,77.282,1739909039999,7261771.68130,2203,21.365,2007472.67340,0,2025-02-18 20:03:00,2025-02-18 20:03:59
1739909040000,93949.30,93960.70,93905.00,93960.60,67.153,1739909099999,6307843.17060,2044,24.654,2315788.45030,0,2025-02-18 20:04:00,2025-02-18 20:04:59
1739909100000,93960.60,94019.40,93934.00,94019.40,87.259,1739909159999,8200006.21460,2272,52.315,4916436.05230,0,2025-02-18 20:05:00,2025-02-18 20:05:59
1739909160000,94019.30,94052.30,93964.70,94040.70,84.495,1739909219999,7943544.17550,2589,49.717,4674236.23620,0,2025-02-18 20:06:00,2025-02-18 20:06:59
1739909220000,94040.70,94095.30,94040.60,94086.90,79.799,1739909279999,7507287.53270,2130,40.920,3849583.54560,0,2025-02-18 20:07:00,2025-02-18 20:07:59
1739909280000,94087.00,94213.90,94086.90,94193.50,183.122,1739909339999,17243099.22490,3657,121.703,11459245.61380,0,2025-02-18 20:08:00,2025-02-18 20:08:59
1739909340000,94193.50,94244.80,94190.90,94210.00,178.750,1739909399999,16840894.44960,2724,122.715,11561434.29670,0,2025-02-18 20:09:00,2025-02-18 20:09:59
1739909400000,94209.90,94220.20,94152.00,94202.70,96.403,1739909459999,9078614.79480,1933,23.714,2233312.02700,0,2025-02-18 20:10:00,2025-02-18 20:10:59
1739909460000,94202.80,94275.00,94202.80,94275.00,156.391,1739909519999,14737656.50250,2694,91.234,8597889.78990,0,2025-02-18 20:11:00,2025-02-18 20:11:59
1739909520000,94275.00,94288.30,94257.90,94284.00,128.008,1739909579999,12068383.41060,2061,54.344,5123367.67290,0,2025-02-18 20:12:00,2025-02-18 20:12:59
1739909580000,94283.90,94366.60,94283.90,94365.00,359.703,1739909639999,33929681.03350,4030,263.571,24860596.62730,0,2025-02-18 20:13:00,2025-02-18 20:13:59
1739909640000,94364.90,94410.70,94360.10,94394.80,195.943,1739909699999,18494535.37440,2991,137.230,12952477.04790,0,2025-02-18 20:14:00,2025-02-18 20:14:59
1739909700000,94394.90,94405.50,94306.40,94320.50,190.701,1739909759999,17992289.96200,4450,61.393,5792589.96490,0,2025-02-18 20:15:00,2025-02-18 20:15:59
1739909760000,94320.50,94333.40,94244.90,94274.90,121.877,1739909819999,11490208.88490,2659,39.815,3753318.57030,0,2025-02-18 20:16:00,2025-02-18 20:16:59
1739909820000,94274.90,94318.60,94230.00,94230.00,106.541,1739909879999,10044232.29920,2731,44.842,4227810.93740,0,2025-02-18 20:17:00,2025-02-18 20:17:59
1739909880000,94230.10,94258.30,94220.00,94258.20,44.163,1739909939999,4161475.41310,1369,27.169,2560159.67400,0,2025-02-18 20:18:00,2025-02-18 20:18:59
1739909940000,94258.20,94348.00,94258.20,94348.00,122.471,1739909999999,11551759.25600,2354,44.957,4240477.17860,0,2025-02-18 20:19:00,2025-02-18 20:19:59
1739910000000,94348.00,94357.30,94218.30,94238.90,166.755,1739910059999,15723934.74050,3909,43.029,4057589.55490,0,2025-02-18 20:20:00,2025-02-18 20:20:59
1739910060000,94239.10,94239.10,94172.10,94196.90,93.310,1739910119999,8789854.98420,2677,37.234,3507237.67960,0,2025-02-18 20:21:00,2025-02-18 20:21:59
1739910120000,94196.80,94281.10,94151.90,94279.90,81.426,1739910179999,7670996.96710,2020,53.916,5079497.21500,0,2025-02-18 20:22:00,2025-02-18 20:22:59
1739910180000,94280.00,94291.20,94212.90,94213.00,46.732,1739910239999,4405421.77480,1630,20.098,1894807.52100,0,2025-02-18 20:23:00,2025-02-18 20:23:59
1739910240000,94213.00,94230.00,94192.30,94226.50,52.211,1739910299999,4919140.76780,1506,30.318,2856435.01440,0,2025-02-18 20:24:00,2025-02-18 20:24:59
